Insee,Code_postal,Ville,Sécurité,Éducation,Sport / Loisir,Environnement,Vie pratique,pouce_positif,pouce_negatif,commentaire,date,auteur
35001,35690,Acigné,4,4,5,5,5,0,0,Ville fleurie avec très beau parc qui permet de se balader et de pratiquer du sport en plein air. Il y a tous les commerces essentiels pour la vie de tous les jours et des établissements pour les loisirs. ,02/02/2022,Loungers
35001,35690,Acigné,4,4,4,4,4,0,0,"Ma ville est riche au point de vue culturel - animations - sports - cinéma, dans cette ville tout y est agréable nous avons des commerces - des bus fréquents il fait bon y vivre.",28/11/2021,Juliette3545
35001,35690,Acigné,4,4,5,4,5,0,0,"Commune où il fait bon vivre, avec toutes les commodités et pas loin de Rennes. Cependant, le manque d'entretien des espaces verts et le manque de considération pour les administrés sont dommageables, d'autant plus pour une commune de cette taille",22/02/2021,cmoi
35001,35690,Acigné,5,4,3,4,4,0,0,"Une ville sympathique, animée et  agréable et un beau centre ville",18/07/2017,Virgail
27003,27400,Acquigny,4,4,5,5,4,0,0,C'est un charmant village où il fait bon vivre .de belles promenades à faire autour de son lac et dans ses petites rues fleuries.,24/12/2020,Nath
27003,27400,Acquigny,4,4,3,4,4,0,0,Ville agréable avec un bon panel de petit commerces. ,14/12/2021,Anthony
27003,27400,Acquigny,4,4,3,4,3,0,0,"Ma ville est tres très calme, facile d'accès grâce à la voie rapide . Il y a plusieur commerce ce qui est pratique .",12/12/2019,Cocol
34002,34230,Adissan,4,3,2,3,2,0,0,"Ma ville est assez platonique on s'y ennuie facilement, si l'on veut aller dans une avec plus d'activité il faut faire 45 minute de route.",12/01/2021,Pez
34003,34300,Agde,1,2,2,2,3,8,2,Ville sale règne délinquance et trafic de drogue et c'est de pire en pire vu que le maire actuel laisse les choses se faire la police ne se déplace même plus certains fais même leur pétard devant la police qui ne dit rien,23/06/2020,Mario
34003,34300,Agde,3,3,2,3,3,0,0,"Centre ville laissé à l'abandon, rue sales (crottes de chien), papiers hors des poubelles. Pourtant j'aime  le centre historique de la ville. Ce serait si beau si le maire et son conseil municipal donnait la préférence des travaux de réhabilitation au centre ville au lieu de privilégier le Cap d'Agde, qui est le lieu touristique pour 2 mois de l'année. Mais il y a une population tout au long de l'année dans le centre ville de Agde. On peut toujours rêver !!!!",17/02/2022,Cheyenne
34003,34300,Agde,4,4,2,3,4,0,0,"La ville est agréable, il y a beaucoup de pistes cyclables, mais aussi beaucoup de mobilier anti-vélo rendant difficile les déplacements doux. Les équipements sportifs sont centrés sur le foot et le rugby ; il manque un skatepark digne de ce nom. ",26/10/2021,Thom
34003,34300,Agde,3,3,4,2,3,1,2,"Station balnéaire, ( la plus grand d'Europe), tout est centré sur le tourisme d'été, soit à peine 2 mois, par contre hors saison, il n'y a pas grand chose de proposé pour les habitants de la ville.",11/10/2021,Eugénie Migne
34003,34300,Agde,4,0,2,3,3,2,1,"Agde est une ville qui devrait vivre beaucoup plus et qui en a les capacité mais qui vit au ralenti, mis a part l'été.",18/07/2021,Romyrl
34003,34300,Agde,0,0,3,3,0,2,2,"Mentalite qui est supportable le temps des vacances mais rien de plus . les gens sont mefiants ,triste,connaisse ni la convivialitee a fuir pour faire simple .ici on comprends tres vite que l on est pas dans l ambiance chaleureuse du nord.",07/03/2021,john
34003,34300,Agde,4,4,4,2,4,1,3,Bien dommage qu'il y est encore des rues et endroit sale pas nettoyés comme par exemple vers les jardins communaux il y a bien des poubelles mais elles sont pleines depuis des mois les détritus éparpillés un peu partout ...,05/02/2021,Bernadette.Bry
34003,34300,Agde,2,4,4,4,4,1,1,"Très bien,il fait bon y vivre.soleil,mer,nombreux  commerces, très fleurie,je m'y plais beaucoup,il fait bon y vivre au calme hors saison.",29/12/2020,Jodigio
34003,34300,Agde,3,3,4,5,3,2,1,"Centre historique  à  l'abandon, effort de développement  concentré  sur le cap d'Agde qui absorbe la quasi-totalité des touristes en saison , la population étant alors multipliée par 10.",25/11/2020,Luc
34003,34300,Agde,1,1,1,1,1,9,4,Quelle déception ! Cette ville si pittoresque et vivante il y a plus de dix ans et dorénavant une ville laissée a l'abandon.,15/07/2020,Chris 
34003,34300,Agde,4,4,4,3,4,2,1,"C'est une ville très attractive grâce à son tourisme, ses kilomètres de plage, très agréable pendant 10 mois mais malheureusement surpeuplée pendant 2 mois",11/06/2020,Anita
34003,34300,Agde,4,4,4,4,4,2,1,"Ville très ensoleillée, très agréable à vivre car bcp d'équipement notamment de loisirs.",07/06/2020,Lulu
34003,34300,Agde,3,4,4,3,4,2,3,Agde et une ville avec de beau ponts et une belle église l'enseignement et super ainsi que le maire,10/03/2020,Soso
34003,34300,Agde,4,4,5,5,3,0,1,"Positif : le climat, les plages belles et variées, le Mont St Loup, la Gare, des commerces Bio, ville à vocation touristique...",03/02/2020,Bibi 
34003,34300,Agde,4,4,4,4,4,1,0,"Positifs bon lycée 1 bon collège sur 2 , Cinéma bien, commerces bien ville assez calme, plage a proximité, routes cyclables de plus en plus ",20/11/2019,chris34
47001,47000,Agen,3,3,3,4,4,1,0,Pas mal mais avec une police nationale plus présente se serait un plus mais ville qui reste agréable en journée...,27/12/2021,Mpta
47001,47000,Agen,4,4,3,2,4,0,0,Ville agréable à taille humaine. Bonne sécurité. ,02/03/2022,Anata
47001,47000,Agen,0,4,4,4,3,0,0,"Sécurité déplorable , incivilités recurantes , les polices fond ce qu'elle peuvent, mais très décourageant d'arrêter quelqu'un qui est relâché par le proc 2h après.!! ",02/03/2022,Papy 47
47001,47000,Agen,4,4,4,3,5,0,0,"Jolie ville, tout les magasins s y trouvent, agréable, bonnes écoles, beaucoup de loisirs. beaux parcs, bonnes balades, le canal du midi y passe. la sécurité est a peu prés bien.",24/01/2022,catherine
47001,47000,Agen,1,1,1,1,1,0,0,"Vieille ville dont l'évolution des infrastructures ne suit pas assez vite les évolutions technologiques. L'économie s'en ressent, et meurt à petits feux",01/12/2021,Letwobab
47001,47000,Agen,4,5,5,5,5,0,0,J'adore la rue piétonne du centre ville et l'aménagement de passeligne est juste parfait pour les familles j'aimerais juste qu'il y ai plus d'accès pour les enfants à mobilité réduite comme p,22/10/2021,Celine
47001,47000,Agen,2,2,3,2,3,0,0,"Ville agréable sans plus, des quartiers à rénover complètement! Prévoir plus d’activités pour les enfants",11/10/2021,Paul-Axel
47001,47000,Agen,4,4,5,5,4,0,0,Entre mer et montagne c est le paradis sur terre,08/09/2021,thierry
47001,47000,Agen,4,4,4,4,3,0,0,Une ville de taille humaine. Beaucoup d efforts en matière d urbanisation ont été faits et le centre ville est très agréable. Il manque un peu d'animations pour les jeunes le week-end notamment,02/09/2021,Ch0547
47001,47000,Agen,4,4,2,3,4,0,0,"Les Agenais sont aimables et on mange bien dans leur ville pour pas trop cher. Peu d'animation sportive et culturelle ou encore liée à l'environnement, alors qu'il y a un potentiel.",17/06/2021,Hedi
47001,47000,Agen,4,3,4,4,2,0,0,VILLE EN PROGRES MAIS IL RESTE ENCORE BEAUCOUP DE CHOSES A AMELIORER OU A CREER SURTOUT DES CABINETS MEDICAUX DES CRECHES AINSI QU UNE AMELIORATION DU NOMBRE DE BUS AINSI QUE LES HORAIRES,23/05/2021,DOMI47
47001,47000,Agen,4,3,3,4,4,0,0,Ville agreable avec des commerces interessants toutes les administrations y sont representees la ville est bien entretenue,11/04/2021,Michou
47001,47000,Agen,3,4,2,4,4,0,0,"Positif: beaucoup d'espace de balade, facilité de vivre . Négatif: le manque d'animation pour les enfants, les travaux et les parking et rue payante",21/03/2021,Moonmassage
47001,47000,Agen,5,5,5,5,5,0,0,  la vie prend tout son sens dans cette ville le temps y est formidable pas de pollution il y a du travail etc,26/02/2021,moi
47001,47000,Agen,,,,,,0,0,C'est une blague ?,06/12/2021,Jua47
47001,47000,Agen,3,5,4,4,4,0,0,"Bonne ville mais pas très sécuritaire la nuit, bonne diversité de commerces et d'activités dans l'ensemble. ",13/11/2020,cams
50002,50180,Agneaux,5,5,5,5,5,0,0,"Petite commune de 4000 habitants dans laquelle nous ne manquons de rien.. écoles, commerces, bibliothèques, structures sportives...",16/05/2021,Francoise
50002,50180,Agneaux,5,5,5,5,5,0,0,Transports en commun à porter de main. Beaucoup d'associations sportives et d'un centre commercial comprenant beaucoup de boutiques.,06/08/2021,Delphine
38003,38150,Agnin,2,4,4,3,4,0,0,"Lyon est une jolie ville, culturelle, plaisante à vivre, avec des quartiers diversifiés qui lui donne beaucoup de charme.",14/10/2017,Manon Gameha
50003,50230,Agon-Coutainville,5,4,4,5,2,0,0,"Coutainville est une ville de bien bord de mer où il fait bon vivre. L'été, Le temps est doux et le Samedi activités ne manquent pas : tennis, golf, équitation, voile ou simplement farniente.",15/01/2019,Laulau120695
50003,50230,Agon-Coutainville,4,4,4,4,4,0,0,"Ma ""petite""ville est très agréable grâce à sa plage, sa digue bien aménagée, le centre est facile d'accès et assez plaisant avec plusieurs commerces, parkings...",18/09/2019,Lili07
24002,24460,Agonac,3,0,3,3,2,0,0,"Ville tournée vers les personnes âgées, peu de place pour les jeunes et les quarantenaires. Plus de place de parking, ou alors toutes payantes. Tout est fait pour que l'on ne passe pas de temps en ville.",15/05/2020,Selinalex
12002,12520,Aguessac,5,4,4,5,5,0,0,Une ville a l'ecart de la foule mais à moins de une heure d'une grande  ville. Un endroit idéal pour élever des enfants en toute securité.,09/10/2021,kelly12
53001,53940,Ahuillé,3,3,3,2,2,0,0,"Manque animation. Petit village, très convivial. Les rues sont propres et avons la possibilité de randonner aux environs",10/02/2019,Cricri
23001,23150,Ahun,5,4,4,5,4,0,0,Petite ville tranquille ou l'on peut circuler sans peur le soir. ,13/01/2022,Flore.du
8003,08090,Aiglemont,4,4,3,5,5,0,0,Aiglemont est une ville/village très bien situé près des commerces et près de la belgique on s'y trouve bien le village est très sympa,15/10/2021,mélanie
8003,08090,Aiglemont,4,4,4,4,4,0,0,Ne pose aucuns problèmes particuliers pour les jeunes enfants en fonction des jeux avec lesquels ils jouent et suivant leur age,31/05/2021,philou08
4001,04510,Aiglun,4,5,5,5,4,10,1,"Très joli village où il est agréable de vivre. Entouré de nature le calme y est roi ainsi que les animaux sauvages ,à cinq minutes de la ville pour toutes commodités .",22/11/2020,Brigitte
4001,04510,Aiglun,,,,,,6,9,Petit village bien sympathique près de digne ou l'on y trouve un havre de paix sur c 2 villes.,30/06/2021,François
4001,04510,Aiglun,,,,,,8,6,@François : Coordonnées géolocalisées de ces havres de paix ?  ,17/08/2021,Wynns
16005,16140,Aigre,2,5,3,2,1,0,0,"Une ville charmante mais une activité qui ne fait que diminuée au fil des années, de plus la délinquance est  en hausse et beaucoup de maison qui pourrait être très charmantes sont a l'abandon. Mais il reste beaucoup de tres beaux coins et Aigre reste une ville tres calme.",01/07/2021,Yeezusw
16005,16140,Aigre,4,4,4,5,5,0,0,"Une charmante ville qui  a  tout pour plaire ! qualite de vie  , paysages et tranquilite  destressante !  et tout en ayant  tout ce qu il faut ! et  une campagne magnifique  a proximite !",03/08/2021,val
44002,44140,Aigrefeuille-sur-Maine,5,4,5,4,4,0,0,"Petite commune qui s'agrandie au fil du temps, avec ses commodités, nous sommes bien dans cette commune de 5000 habitants, nous faisons tous à pieds , école, boulangerie, presse, resto ..., et bientôt la piscine. nos enfants sont en sécurité dans cette ville malgré une Nationale 137 qui la traverse un point négatif en attentant le contournement ....merci",14/02/2021,sellyne
44002,44140,Aigrefeuille-sur-Maine,4,3,4,1,4,0,0,"Bonne petite ville qui bouge avec des commerces, mais qui est mal fleurie et avec des déchets pas ramasés, mal entretenue",18/12/2021,Sellyne44
44002,44140,Aigrefeuille-sur-Maine,4,4,4,2,3,0,0,Il fait bon vivre. Au calme mais avec tous les commerces de proximité et à 20 km d'une très grande ville. Beaucoup d'animation. Un conseil municipal proche de ses habitants.,24/06/2021,Annso
44002,44140,Aigrefeuille-sur-Maine,4,4,3,4,4,0,0,"En pleine expansion. De l'avenir, de nouveaux commerce .et bientôt une piscine municipale. Il manquera plus qu' un cinéma et ça sera le top pour pour ma commune.",20/06/2020,Ced79
30002,30350,Aigremont,5,2,2,2,0,1,0,Jolie Petite ville dortoir,26/04/2017,Lilifred
30003,30220,Aigues-Mortes,4,4,3,4,4,2,0,Simple et belle on s'y sens bien et c'est tres agreable pour y habiter quand on a une famille. Le seul soucis c'est que tout est payant au niveau des places de stationnement,24/10/2019,Samuel30220
30003,30220,Aigues-Mortes,4,4,4,5,5,0,0,Une ville où il fait bon vivre. ,02/01/2022,Ana
30003,30220,Aigues-Mortes,4,3,3,3,1,0,0,"J'habite Aigues-Mortes depuis 2 ans, mais je pense que cette ville est restée sans investissement depuis trop longtemps , elle a besoin qu'une dynamique arrive. Quelques exemples : voirie mal entretenue , passage sur le pont tournant hors service depuis 1 an , accessibilité de la Tour Carbonniere par le côté le long de la route supprimé, accessibilité du c ville   uniquement par le pont ( qui va être remplacé!!) aucune passerelle piéton et vélo prévue en investissement,  etc..... une ville , ce n'est pas seulement des touristes. ",26/11/2021,Henri
30003,30220,Aigues-Mortes,3,4,4,3,4,0,0,Agréable mais énormément de monde lété. Les logements sont très chers. La situation géographique est idéale entre Nîmes et Montpellier et au bord de la mer.,25/09/2021,Jo
30003,30220,Aigues-Mortes,5,5,3,5,5,0,0,Ma ville est une ville dynamique ou l’on se sent en sécurité partout dans la ville puis elle est très bien entretenue,15/08/2021,Alexess
30003,30220,Aigues-Mortes,3,3,3,3,0,1,1,"En visite en famille à Aigues Mortes nous nous sommes vus refuser l'accès à plusieurs restaurants car si vous arrivez en famille,  avec des enfants (je précise qu'avec les restrictions sanitaires nous avons bien évidemment demandé d'occuper 4 tables de 4 personnes), et bien on vous dit clairement qu'on ne vous accueillera pas parce-que vous ne serez pas rentables!  Voici donc plusieurs restaurateurs qui refusent de servir 4 familles en sortie de confinement ! Dommage pour eux parce-que contrairement à leurs idées pré-concues, nous leurs aurions fait gagner pas mal d'argent. Donc si vous souhaitez goûter la cuisine de ce restaurant, et de plusieurs autres d'ailleurs dans cette ville, allez- y sans enfant!",24/05/2021,Muriel 
30003,30220,Aigues-Mortes,1,2,2,1,3,4,3,Ville belle de loin mais loin d'etre belle.,30/05/2020,Ecocitoyen
30003,30220,Aigues-Mortes,5,5,5,5,5,2,2,"Une de rares villes ou le stationnement horodateur est gratuit toute l'anné pour les résidents Aigues Mortais. les parking payant font l'objet d'un tarif préférentiel (40€ pour l'année complète!!) le reste étant magnifique. les remparts, la ville, le plaisir de vivre dans une ville calme et très sécurisée..",23/02/2020,jean-paul
30003,30220,Aigues-Mortes,4,4,2,3,3,0,0,Aigues-Mortes c'est une ville agréable  les personnes qui habite sur agréable c'est une ville où il y a beaucoup de vacanciers,30/05/2019,Eldeweiss
30003,30220,Aigues-Mortes,4,4,4,4,4,2,0,Aiguës mortes (30) c trop cool c un régal de vivre dans des remparts vivantes et à 5 min de la mer bisous merci,26/09/2018,Djbart
30003,30220,Aigues-Mortes,5,4,4,4,5,1,0,Aigues mortes est une ville situe a 5mn de la mer des magnifiques remparts av un village encore vivant a l interieur village tres propre culturel un regal pour les yeux un vrai paradis on y est aucun point positif,17/01/2018,Sissi
30004,30670,Aigues-Vives,5,5,5,5,5,1,0,Un véritable petit paradis que je ne quitterai pour rien au monde. J'y suis heureuse avec ma famille et il y fait bon vivre... Population agréable    ,14/10/2021,Plume30
34007,34210,Aigues-Vives,0,0,0,0,0,1,0,"NE SURTOUT PAS VENIR en tant que touristes ,habitants désagréables, on s’est fait jeter d’un restaurant,à éviter !De plus la ville n’est pas très propre .",01/08/2021,Emma 
43002,43000,Aiguilhe,5,5,5,5,5,0,0,J'aime mon quartier bien chaleureux avec des repas filles du quartier toute commodité et lieu touristique proche de la vierge du Puy en Velay et du Pic d'Aiguilhe.,01/12/2020,isabelle
43002,43000,Aiguilhe,5,4,3,5,1,0,0,Très bonne qualité de vie. Ville et campagne à la fois. Patrimoine exceptionnel.  Festivités originales,03/03/2017,Danielle43
47004,47190,Aiguillon,0,1,1,0,1,0,0," trop de délinquance,pas en sécurité ",12/09/2019,Françoise 
47004,47190,Aiguillon,1,3,2,1,2,0,0,Beaucoup trop de délinquance à mon gout... on ne se sent pas en sécurité. ,08/05/2019,eml
36001,36140,Aigurande,4,2,3,4,2,0,0,Pas de pollution mais zéro resto et pas grand chose pour se distraire.,15/05/2017,Ibleron
30006,30470,Aimargues,4,4,3,4,4,1,0,"Aimargues village camarguais au porte de la Camargue et de la mer très agréablement situé avec ses traditions taurine,  bien situé petit bémol un peux trop de moustique en été ce qui est un peux désagréable lors de repas en extérieur.",09/03/2019,NATH
30006,30470,Aimargues,4,5,4,5,5,0,0,"Très beau village, on s’y sent en sécurité et le système éducatif est excellent, il y a tout ce qu’il faut!",30/08/2021,Jordan
30006,30470,Aimargues,4,4,3,4,4,0,0,"Ville en développement, qui n’a pas encore suffisamment réagi au surcroît de population en terme d’infrastructures ",12/12/2020,Eric
30006,30470,Aimargues,4,3,4,4,3,1,0,C'est un village tranquille et dynamique typiquement Camarguais pas très loin de la mer avec des animations tout au long de l année ..,04/11/2017,Oryx
30006,30470,Aimargues,4,2,3,4,3,0,0,"Jolie village avec des tradition camarguaise lieu de vacances ideal a  15mn des plages , Vous pourrez aussi vous rendre en bord de mer à Velo car il y a des piste verte trés agreable",23/06/2017,Otyx
3003,03360,Ainay-le-Château,4,4,5,5,4,0,0,"C'est une petite ville agréable à vivre où nous avons tous les services et commerces. Cerise sur le gâteau, l'environnement y est exceptionnel et les animations débordantes. Je ne quitterai pour rien au monde ce havre de paix !",26/02/2018,Kevin1002
3003,03360,Ainay-le-Château,5,3,5,5,4,0,0,Petit village bien situé calme et accueillant au sein d'une nature préservée dynamisme culturel et bien pourvu en infrastructures ,28/07/2020,Ji
13001,13080,Aix-en-Provence,2,5,3,2,3,10,0,Points positifs :,19/01/2020,Celuidontonnedoitpasprononcerlenom
13001,13080,Aix-en-Provence,4,4,2,4,3,0,0,"Aix en Provence est une ville où il fait bon dhabiter. Une ville à taille humaine avec une grande diversité de commerces, une architecture qui déplaise et nous plonge dans lesprit de la province. Linconvénient que je trouve à Aix est les prix appliqués par les commerces, pas accessibles à tous et labsence en transports en commun en fin de journée, passé 21h00.",15/01/2022,Aliciamds
13001,13080,Aix-en-Provence,3,4,4,3,5,0,0,"Ville de plus en plus sale. Les haies des jardins des Particuliers en bordure de rue, envahissent les trottoirs au détriment des piétons sans que les services municipaux n'interviennent. L'entretient des chaussées n'est pas immédiat. Le stationnement devant les groupes scolaires est souvent anarchique aux heures de sortie des élèves.Voilà pour les mauvais points. Quant aux points positifs, ils sont nombreux, comme l'architecture des hôtels particuliers, les grandes écoles, la santé, la culture sans oublier une fiscalité maîtrisée. ",28/12/2021,Jean-Pierre 
13001,13080,Aix-en-Provence,2,4,4,3,4,3,0,"Aix en Provence est une ville étudiantes pleine de vie avec des activités sympathiques. C'est agréable de s'y promener. Mais visiblement depuis quelques temps à cause des SDF marseillais que la SNCF laissent passer, il y a des agressions au centre ville. Hors si on vie à Aix c'est aussi pour ne pas se faire agressée comme c'est le cas à Marseille. Du coup j'ai peur que Aix à cause de SDF marseillais devienne aussi dangereuse qu'à Marseille bientôt.",25/12/2021,Catherine
13001,13080,Aix-en-Provence,4,4,3,4,4,0,0,C'est une belle ville où il fait bon se promener. Beaucoup de rue piétonne mais la vie est chère. L'immobilier est hors de prix pour accéder à la propriété !,14/11/2021,Stemon
13001,13080,Aix-en-Provence,4,4,3,4,4,0,0,"Il y a beaucoup de vie et commerces, ville très agréable. La ville propose de nombreuses activités, enseignement et événements sportifs",14/11/2021,Anthojeu31
13001,13080,Aix-en-Provence,4,4,4,3,5,0,0,"Ville très agréable pour les familles. Équipement et situation géographique parfaite. Une ville qui est moderne et on y était très bien. Voilà, en tout cas c’est une jolie et agréable ville.",02/11/2021,Sacha
13001,13080,Aix-en-Provence,4,4,4,4,4,0,0,"Ville fleurie, agréable et chaleureuse quand on la connais bien. Difficile de trouver les bons coins quand on ne connait pas",01/11/2021,Outille
13001,13080,Aix-en-Provence,3,4,4,4,4,0,0,"Cest une jolie ville adaptée aux piétons, avec énormément de commerces de proximité, et beaucoup de transports en commun. Cependant, il y a souvent des bouchons et des travaux.",13/10/2021,Bambou
13001,13080,Aix-en-Provence,4,4,4,4,4,0,0,Une ville vraiment très sympa et animée. C est agreable pour sortir pour familles et jeunes. Sécurité.,11/10/2021,Sandralita
13001,13080,Aix-en-Provence,4,4,3,4,4,1,0,C'est une ville où il y fait bon vivre. Il fait beau il fait chaud et les gens sont sympas. Vive Aix en Provence,29/09/2021,Alexouille
13001,13080,Aix-en-Provence,3,4,3,3,4,1,0,"Très jolie ville , étudiante avec de beau coin de nature notamment la sainte victoire pas loin de la mer et ce beau paysage de carte postale .. le top quoi",22/09/2021,Angele13100
13001,13080,Aix-en-Provence,4,3,4,3,4,0,0,Pour l instant negatif car il y a beaucoup de travaux pour ameliorer l etat de la ville.mais une fois les travaux termines cela sera splendide,22/09/2021,Edith
13001,13080,Aix-en-Provence,4,4,4,4,4,0,0,"Une jolie ville, un mélange de culture, gastronomie et loisir. Une ville plaisir où il fait bon vivre, un centre ville complet et une périphérie très agréable.",17/09/2021,Unefilleenprovence
13001,13080,Aix-en-Provence,4,3,3,2,3,0,0,"Ville animée et jeune avec beaucoup de festival, d'exposition, de théâtre etc ... Ma ville de naissance donc un attachement particulier",12/09/2021,Lolo
10003,10160,Aix-Villemaur-Pâlis,2,1,2,3,2,7,0,"Si il y avait un trou perdu ne cherchez c est ici. Rien a faire... est ce pour cela que les autochtones cherchent le ragot? Un atout ? Les paysages sont très beaux! Dommage que les élus et les habitants n en ont pas conscience et laisse faire des choses pas très clair. Ah si, le maire avec une étiquette ecologiste et socialiste, comment ne peut il ne pas savoir que de nombreux foyers dans les hameaux n ont aucuns systemes d assainissement !!! Bravo..  ",24/01/2020,Unhabitantdecu.
10003,10160,Aix-Villemaur-Pâlis,4,4,3,4,4,0,0,La vie au calme. Un petit bourg de campagne avec tous les commerces et services. Ne manque que l'hopital et certaines activités genre cinéma théatre ... Il faut aller à TROYES à 30 kms,11/06/2021,catscorp
10003,10160,Aix-Villemaur-Pâlis,1,1,2,1,0,0,0,Jolie région mais problemes rien n est fait. ,23/10/2020,Aubois amer
10003,10160,Aix-Villemaur-Pâlis,2,0,1,0,1,3,0,Beau bourg surtout autour de la mairie.,19/01/2020,Unhommenormal
10003,10160,Aix-Villemaur-Pâlis,4,3,2,4,1,0,3,Village de campagne calme et agréable mais sans commerces. Trés peu d'animation ou de festivités mais c est un choix.,15/12/2019,Cricri
10003,10160,Aix-Villemaur-Pâlis,4,4,4,3,3,0,3,"De nombreuses renovations,des rues propres,fleuries une ambiance musicale,j'aime ma ville!!mais quelques magasins ont fermé leurs portes,il en faudrait de nouveaux",23/02/2019,Nadiva
24004,24210,Ajat,4,4,3,3,4,0,0,"C'est une ville avec un agréable château, bien touristique avec de jolies balades à faire en famille !",15/02/2018,Rguerin222
2009,02240,Alaincourt,4,3,3,3,3,0,0,Je vais parler de la ville qui est a 20 kms de chez moi car j habite un village en campagne. c'est une ville qui est je pense bien desservis mais le soir il n'y a rien tout est ferme et c'est triste meme le wkend il n 'y a pas grand  monde dans les rues,09/05/2017,Stephines
7005,07400,Alba-la-Romaine,5,4,3,5,5,1,0,"Petit village de caractère, on y est bien tranquille à la campagne, de nombreux commerces sont présents dont : une épicerie fine, une boucherie, un coiffeur, un tabac, deux boulangeries, deux médecins, un kiné, un cabinet d'infirmière, plusieurs bar/resto/chambres d'hôtes ",16/10/2021,jacques
